"Middle-Class Family (2 Adults, 2 Kids):

",,
Category,Grocery Items,
Fruits & Vegetables,"Potatoes, Onions, Tomatoes, Spinach, Apples, Bananas, Oranges, and Green Chilies",
Personal Care,"Shampoo, Soap, Toothpaste, and Toilet Paper (Non-Festive)",20-100 per item (Non-Festive)
Toiletries,"Sanitary Pads/Diapers, Shaving Cream, and Razors (Non-Festive)",30-200 per item (Non-Festive)
Baby Food,"Baby Formula, Baby Cereals, and Baby Food Jars (Non-Festive)",100-500 per item (Non-Festive)
Miscellaneous,"Sugar, Salt, and Cooking Gas (Non-Festive)",10-50 per kg (Non-Festive)
Festive (Diwali) Sweets and Snacks,"Assorted sweets, dry fruits, namkeens, and chocolates (Festive)",Varies widely (Festive)
Festive (Diwali) Fruits,"Apples, Oranges, Grapes, and special fruits (Festive)",Varies by weight (Festive)
Festive (Diwali) New Clothes,Traditional attire for family members (Festive),Varies widely (Festive)
Festive (Diwali) Decorations,"Diyas (clay lamps), Rangoli colors, and stencils (Festive)",Varies by item (Festive)
,,
,,
"Grocery List for Middle-Class Family (2 Adults, 2 Kids):

",,
Category,Grocery Items,Approximate Price Range (INR)
Fruits & Vegetables,"Potatoes, Onions, Tomatoes, Spinach, Apples, Bananas, Oranges, Green Chilies, Grapes, Mangoes, and Berries","Varies by weight, typically 20-80 INR per kg"
Rice & Grains,"Rice, Wheat Flour, Lentils (Dal), Pasta, and Oats","Varies by brand and type, typically 30-100 INR per kg"
Protein,"Chicken, Eggs, Tofu (or paneer), and Fish","Varies by type and quality, typically 120-300 INR per kg"
Dairy,"Milk, Yogurt, Cheese, and Butter","Varies by brand and type, typically 25-150 INR per kg"
Cooking Oil,Sunflower Oil or Vegetable Oil,"Varies by brand and quality, typically 100-150 INR per liter"
Spices & Seasonings,"Turmeric, Cumin, Coriander, Garam Masala, Salt, Pepper, Red Chili Powder, and Mixed Spices","Varies by spice, typically 20-100 INR per spice"
Bread & Cereals,"Bread, Roti, Rice Cakes, and Breakfast Cereals","Varies by brand, typically 20-300 INR per item"
Snacks,"Tea, Coffee, Biscuits, Chips, and Namkeens","Varies by brand and quantity, typically 20-200 INR per item"
Condiments,"Ketchup, Mustard, Soy Sauce, and Pickles","Varies by brand and type, typically 20-100 INR per item"
Cleaning Supplies,"Dishwashing Soap, Detergent, Scrubbers, and Cleaning Solutions","Varies by brand and type, typically 20-200 INR per item"
Personal Care,"Shampoo, Soap, Toothpaste, Toilet Paper, and Deodorant","Varies by brand and type, typically 20-100 INR per item"
Toiletries,"Sanitary Pads, Shaving Cream, Razors, and Bath Soap","Varies by brand and type, typically 30-200 INR per item"
Baby Food,"Baby Formula, Baby Cereals, Baby Food Jars, and Baby Snacks","Varies by brand and type, typically 100-500 INR per item"
Miscellaneous,"Sugar, Salt, Cooking Gas, and Masoor Dal","Varies, typically 10-50 INR per item"
,,
"Grocery List for Upper-Middle-Class Family (2 Adults, 2-3 Kids):

",,
,,
Category,Grocery Items,Approximate Price Range (INR)
Premium Fruits & Vegetables,"Exotic fruits (e.g., Avocado, Berries), organic produce","Varies by item, typically 50-150 INR per kg"
Premium Protein,"Salmon, Prawns, and Mutton","Varies by type, typically 300-800 INR per kg"
Premium Dairy,"Greek Yogurt, Imported Cheese, Almond Milk","Varies by brand and type, typically 100-400 INR per item"
Premium Cooking Oil,"Olive Oil, Coconut Oil, and Avocado Oil","Varies by brand and type, typically 200-400 INR per liter"
Premium Spices & Seasonings,"Saffron, Oregano, and specialty spices","Varies by spice, typically 50-300 INR per spice"
Premium Bread & Cereals,"Artisanal bread, Gluten-free products, and organic cereals","Varies by brand and type, typically 100-500 INR per item"
Premium Snacks,"Imported Chocolates, Nuts, Granola Bars, and Gourmet Chips","Varies by brand and type, typically 100-500 INR per item"
Premium Condiments,"Imported Sauces, Gourmet Mustards, Truffle Oil","Varies by brand and type, typically 100-500 INR per item"
Beverages,"Wine, Imported Fruit Juices, and Specialty Tea",Varies widely based on brand and type
Premium Cleaning Supplies,"Premium brand cleaning products, eco-friendly cleaners","Varies by brand and type, typically 100-500 INR per item"
Premium Personal Care,"High-end Shampoo, Conditioner, Body Wash, and Organic Soaps","Varies by brand and type, typically 100-500 INR per item"
Premium Toiletries,"Premium Brand Toiletries, Organic Sanitary Products","Varies by brand and type, typically 100-500 INR per item"
School Supplies,Stationery for the kids' school needs,"Varies by item, typically 50-200 INR per item"
Pet Supplies,"Pet Food, Grooming Products, and Pet Accessories",
